Keyword Phrase,"Category (R for relevant, D for design specific, I for irrelevant and B for branded, S for Spanish, O for Outlier)",ABA Total Click Share,ABA Total Conv. Share,Keyword Sales,Cerebro IQ Score,Relevancy,Search Volume,Search Volume Trend,H10 PPC Sugg. Bid,H10 PPC Sugg. Min Bid,H10 PPC Sugg. Max Bid,Sponsored ASINs,Competing Products,CPR,Title Density,Organic,Sponsored Product,Amazon Recommended,Amazon Choice,Highly Rated,Sponsored Brand Header,Sponsored Brand Video,Top Rated From Our Brand,Trending Now,Sponsored Rank (avg),Sponsored Rank (count),Amazon Recommended Rank (avg),Amazon Recommended Rank (count),B00O64QJOC,B08PH9Y6QS,B08KHD615K,B0D4LG7CRK,B0CSXXWMBC,B0C88J6M4X,B08543W8SH,B0DF1W28C5,B0F5PLRJ3Q,B0FC21BN9V
changing pad baby,,21.6,6.7,12,88,6,701,-18,0.82,0.57,1.04,210,8000,10,1,1,1,1,0,0,1,1,0,0,30,2,89,8,1,2,4,18,18,8,7,13,16,5
changing pad for baby,,18.2,,11,88,5,701,-4,0.68,0.46,0.94,133,8000,10,4,1,1,0,0,0,1,1,0,0,27,5,0,0,3,2,4,14,14,9,5,11,79,13
changing pads for baby,,28.1,20,28,88,2,701,-6,1.19,0.9,1.36,184,8000,10,9,1,1,0,0,0,1,1,0,0,8,2,0,0,11,8,24,39,39,18,9,32,67,25
silicone changing pad,,57.5,22.2,5,1431,3,644,-15,0.73,0.5,1.09,99,450,10,0,1,1,1,0,0,0,1,0,0,3,3,223,4,23,35,22,14,14,15,31,5,4,1
mini changing pad,,32.5,12.5,7,927,0,644,-1,0.84,0.56,0.97,138,695,10,0,1,1,1,0,0,0,1,0,0,6,1,206,10,29,12,25,15,15,22,16,19,24,64
changing pad for changing table,,37.8,17.6,12,106,6,633,-3,0.88,0.58,1.12,144,6000,10,0,1,1,0,0,0,0,1,0,0,15,7,0,0,11,2,4,12,12,3,1,9,5,30
munchkin secure grip changing pad,,92.7,82.4,6,2776,5,633,-16,0.67,0.43,0.91,110,228,10,0,1,1,1,0,0,0,1,0,0,9,4,324,1,1,5,4,15,15,18,8,6,-,24
gathre changing mat,B,69.1,,2,2398,0,633,16,0.62,0.49,0.9,127,264,10,0,1,1,0,0,0,1,1,0,0,10,2,0,0,55,70,64,63,63,38,26,13,19,42
hatch grow smart changing pad,,94.7,75,-,4427,2,633,-16,0.62,0.57,0.67,69,143,10,1,1,1,0,0,0,1,1,0,0,12,2,0,0,10,83,90,19,19,28,70,5,21,4
toddler changing table,,23.5,33.3,3,316,0,631,-15,0.95,0.54,1.4,129,2000,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,83,113,76,153,153,61,12,121,-,261
jool changing pad,,91.9,33.3,3,2050,3,617,-7,0.49,0.46,0.61,84,301,10,0,1,1,1,0,0,1,1,0,0,15,2,25,1,12,8,1,15,15,10,35,4,36,22
diaper changing pad for dresser,,40.3,42.9,8,617,8,617,-25,0.8,0.62,0.94,163,1000,10,7,1,1,0,0,0,1,1,0,0,15,6,0,0,3,5,9,13,13,4,1,2,6,8
changing pad skip hop,,81.8,,3,1380,2,563,62,0.54,0.35,0.59,140,408,9,0,1,1,0,0,0,0,1,0,0,5,5,0,0,11,66,28,13,13,36,46,8,15,4
leather changing pad for baby,,47.1,30,13,998,2,562,-13,0.64,0.4,0.88,181,563,9,0,1,1,0,0,0,0,1,0,0,8,2,0,0,42,81,66,34,34,51,95,5,2,24
diaper changing pads,,29,44.5,32,112,2,562,-9,1.32,0.89,1.47,141,5000,9,5,1,1,0,0,0,1,0,0,0,8,2,0,0,9,11,39,59,59,29,5,35,66,41
changing pas,,40,25,9,13,5,527,-3,0.84,0.6,1.16,163,40000,9,0,1,1,1,0,0,1,1,0,0,10,6,165,4,2,3,13,10,10,5,4,9,85,27
naturepedic changing pad,,84.9,,4,1506,3,527,-20,0.71,0.62,0.79,178,350,9,0,1,1,0,0,0,0,1,0,0,19,6,0,0,3,17,8,34,34,2,12,11,23,18
wipeable changing mat,,29.9,27.8,10,1587,3,527,-2,0.78,0.61,1.09,174,332,9,0,1,1,1,0,0,0,0,0,0,9,2,108,4,12,25,27,45,45,40,18,4,2,3
baby changing pad wipeable,,41.7,75,6,700,4,527,-19,0.84,0.66,1.32,133,753,9,1,1,1,1,0,0,0,1,0,0,8,1,138,7,6,31,36,27,27,32,14,2,5,1
foam changing pad for baby,,36.5,,1,1038,5,525,41,0.61,0.5,0.73,164,506,9,0,1,1,0,0,0,0,1,0,0,18,7,0,0,18,10,12,5,5,6,1,14,16,7
changing topper for dresser,,51.3,,1,1591,4,525,-2,0.87,0.44,1.06,129,330,9,0,1,1,0,0,0,1,1,0,0,29,1,0,0,5,28,7,33,33,6,24,8,-,12
rubber changing pad,,38.9,,2,587,3,525,1,0.79,0.64,0.93,113,894,9,0,1,1,1,0,0,0,1,0,0,9,5,187,3,11,32,30,19,19,33,26,3,6,2
jool baby changing pad cover,,50,18.2,13,1952,1,525,-17,0.63,0.48,1.02,137,269,9,0,1,1,1,0,0,0,1,0,0,12,2,1,1,46,91,4,79,79,61,85,33,-,95
baby changing,,23.5,,1,9,4,525,-13,0.9,0.65,1.02,97,60000,9,25,1,0,1,0,0,0,0,0,0,0,0,176,9,30,16,4,40,40,9,7,23,8,53
hatch baby changing pad,,97.2,100,2,1302,4,478,7,0.78,0.48,0.86,103,367,8,0,1,1,0,0,0,1,1,0,0,4,4,0,0,6,24,28,9,9,10,25,8,17,41
mueble cambiador para bebe,,50,,-,1275,1,478,-7,0.8,0.47,1.08,172,375,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,141,114,6,68,68,95,29,43,35,131
contoured changing pads,,37.9,20,3,572,5,475,-18,0.73,0.56,0.9,104,831,8,0,1,1,0,0,0,1,1,0,0,6,6,0,0,2,7,4,10,10,5,1,12,24,31
blissful diary baby changing pad,,63.2,6.3,9,1503,4,475,-28,0.77,0.58,0.83,126,316,8,0,1,1,1,0,0,1,1,0,0,20,3,2,3,44,55,10,2,2,17,15,1,6,24
changing tray for dresser,,48.3,,1,862,3,475,-10,0.73,0.31,1,203,551,8,0,1,1,0,0,0,1,1,0,0,12,7,0,0,22,64,15,39,39,8,40,3,-,7
baby changer,,30.8,,0,95,3,475,-11,0.96,0.74,1.31,96,5000,8,1,1,1,1,0,0,0,1,0,0,11,2,96,6,21,43,10,28,28,7,8,4,-,17
peanut changer,,70.4,75,8,2975,2,473,-12,0.66,0.49,0.71,102,159,8,6,1,1,0,0,0,0,0,0,0,8,1,0,0,43,40,34,56,56,21,-,8,26,7
dresser with changing table top,,29.8,33.3,1,631,1,473,-45,0.79,0.42,1.12,304,750,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,115,136,4,148,148,15,130,21,-,-
dresser changing table topper,,35.1,,1,1336,7,469,-11,0.75,0.47,0.85,143,351,8,0,1,1,0,0,0,1,1,0,0,13,6,0,0,9,16,2,6,6,4,10,8,26,7
diaper mat changing pad,D,38.4,10.5,5,469,2,469,-9,0.81,0.55,1.02,108,1000,8,0,1,1,0,0,0,1,1,0,0,7,2,0,0,6,36,25,59,59,26,3,19,31,51
rubber changing pad for baby,,57.8,75,1,846,4,468,-5,0.87,0.62,1.14,230,553,8,0,1,1,0,0,0,1,1,0,0,13,6,0,0,18,33,28,22,22,38,8,5,6,1
changing oad,,35.7,,7,12,5,466,-8,0.84,0.58,1.11,131,40000,8,0,1,1,1,0,0,1,1,0,0,10,6,278,3,2,4,16,19,19,9,5,8,11,10
jool baby,,50.6,23.1,13,6853,2,466,-23,0.64,0.51,0.81,62,68,8,25,1,1,1,0,0,1,0,0,0,4,1,62,1,0,-,6,-,-,31,-,-,-,-
diaper changing,,32.8,,1,23,2,466,-12,0.84,0.59,1.15,160,20000,8,27,1,1,1,0,0,0,0,0,0,9,1,168,5,3,26,18,48,48,17,4,20,14,19
snoofybee changing pad,,91.4,71.4,3,1656,0,462,43,0.62,0.43,0.75,142,279,8,0,1,1,0,0,0,1,1,0,0,15,3,0,0,44,35,23,100,100,22,36,19,17,10
changing mat for dresser,,25.4,,2,832,8,462,-,0.69,0.56,0.82,130,555,8,1,1,1,0,0,0,1,1,0,0,14,2,0,0,1,6,4,15,15,7,2,5,3,9
diaper change pad for dresser,,43.8,,6,461,7,461,22,0.79,0.57,1.01,76,1000,8,0,1,1,0,0,0,1,0,0,0,8,3,0,0,1,4,2,12,12,6,5,9,10,7
trocador de bebe,,25.5,33.3,3,2899,2,461,-10,0.55,0.39,0.78,77,159,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,137,7,15,30,30,33,2,10,12,69
plastic changing pad,,48.4,40,1,625,5,459,-8,0.82,0.53,1.03,153,734,8,0,1,1,1,0,0,0,1,0,0,3,3,207,6,6,14,30,34,34,65,1,3,9,5
changing tray,,48.5,,1,46,2,459,-11,0.68,0.44,1.01,175,10000,8,5,1,1,1,0,0,0,0,0,0,4,2,233,1,11,34,27,32,32,7,23,3,21,55
colchón para cambiador de bebe,,38.8,100,1,1402,5,457,-25,0.74,0.47,0.85,131,326,8,0,1,1,1,0,0,1,1,0,0,4,3,315,2,26,1,4,23,23,7,3,8,13,57
baby changing pad waterproof,,26.2,33.3,9,228,4,455,-9,0.81,0.56,1.04,160,2000,8,0,1,1,1,0,0,0,1,0,0,5,6,50,4,1,23,29,32,32,12,4,2,6,22
